form	lemma	freq	seg	pos	gloss
kakita'	kakita'	10			見面；相見；遇到
kansiya	kansiya	10			他
ka'o:olan	ka'o:olan	10			島嶼
kapos	kapos	10			
karma'en	karma'en	10			
katihoero:en	katihoero:en	10			
kilkilo'	kilkilo'	10			
kinalahang	kinalahang	10			
kinmaeh	kinmaeh	10			
koring	koring	10			
kowaS	kowaS	10			
lapowar	lapowar	10			
ma'az'azem	ma'az'azem	10			
manae'	manae'	10			
ma'sih	ma'sih	10			
mayha'ha'	mayha'ha'	10			
minkayba:enan	minkayba:enan	10			
mintatini'an	mintatini'an	10			
mohae'oe:	mohae'oe:	10			
na	na	10			耶
pae:aeh	pae:aeh	10			
pahiyo'	pahiyo'	10			
pak'ibabaw	pak'ibabaw	10			
paktikot	paktikot	10			
palono'	palono'	10			
papanae'	papanae'	10			
papaSoS	papaSoS	10			
papikano'	papikano'	10			
parae'oe:	parae'oe:	10			
patae'aes	patae'aes	10			
patiS	patiS	10			
patiyay	patiyay	10			
pawkongas	pawkongas	10			
payaka:'in	payaka:'in	10			
pinak'as'asay	pinak'as'asay	10			
poe'oe'	poe'oe'	10			
pon'a:iSin	pon'a:iSin	10			
poti'	poti'	10			
potimo'	potimo'	10			
potimo'en	potimo'en	10			
rarahi:	rarahi:	10			
rineme:	rineme:	10			
rinola:ong	rinola:ong	10			
ripon	ripon	10			
romang	romang	10			
sa'oe'	sa'oe'	10			
Sapang	Sapang	10			真的
Saro:or	Saro:or	10			
Sebet	Sebet	10			
Sera:	Sera:	10			
Sihopil	Sihopil	10			
Sina'iS	Sina'iS	10			
Sinbil	Sinbil	10			
siningo:	siningo:	10			
sinsangan	sinsangan	10			
Sipamowa'	Sipamowa'	10			
Sitibae:iw	Sitibae:iw	10			
siwazay	siwazay	10			
Sobae:oehen	Sobae:oehen	10			
soksok	soksok	10			
Somobis':	Somobis':	10			
